position,player,country,points,profile_url
95,Clement Geens,BEL,725,https://www.padelfip.com/es/player/clement-geens/
96,Marcos Gonzalez Blanco,ESP,711,https://www.padelfip.com/es/player/marcos-gonzalez-blanco/
97,Marco Cassetta,ITA,687,https://www.padelfip.com/es/player/marco-cassetta/
98,Pedro Melendez Amaya,ESP,667,https://www.padelfip.com/es/player/pedro-melendez-amaya/
99,Dylan Guichard,FRA,664,https://www.padelfip.com/es/player/dylan-guichard/
100,Martin Abud,PAR,657,https://www.padelfip.com/es/player/martin-abud/
101,Albert Roglan Pons,ESP,646,https://www.padelfip.com/es/player/albert-roglan-pons/
102,Facundo Rodrigo Luis Lopez,ARG,602,https://www.padelfip.com/es/player/facundo-rodrigo-luis-lopez/
103,Santiago Jose Pineda Cabello,ESP,577,https://www.padelfip.com/es/player/santiago-jose-pineda-cabello/
104,Ferran Insa Sotillo,ESP,554,https://www.padelfip.com/es/player/ferran-insa-sotillo/
105,Adam Axelsson,SWE,543,https://www.padelfip.com/es/player/adam-axelsson/
106,Rodrigo Coello Manso,ESP,540,https://www.padelfip.com/es/player/rodrigo-coello-manso/
107,Arnau Ayats,UAE,532,https://www.padelfip.com/es/player/arnau-ayats/
108,Renzo Gabriel Nuñez,ARG,526,https://www.padelfip.com/es/player/renzo-gabriel-nunez/
109,Manuel Aragon Herrera,ESP,522,https://www.padelfip.com/es/player/manuel-aragon-herrera/
110,Alberto Garcia Trabanco,ESP,519,https://www.padelfip.com/es/player/alberto-garcia-trabanco/
111,Jesus Moya,ESP,515,https://www.padelfip.com/es/player/jesus-moya/
112,Franco Renato Dal Bianco,ARG,511,https://www.padelfip.com/es/player/franco-renato-dal-bianco/
113,Pablo Sanchez Vicente,ESP,510,https://www.padelfip.com/es/player/pablo-sanchez-vicente/
114,Alfonso Sanchez Arriaga,ESP,501,https://www.padelfip.com/es/player/alfonso-sanchez-arriaga/
115,Miguel Melero Bernal,ESP,499,https://www.padelfip.com/es/player/miguel-melero-bernal/
115,Roberto Belmont Pastor,ESP,499,https://www.padelfip.com/es/player/roberto-belmont-pastor/
117,Guillem Figuerola Santiago,ESP,496,https://www.padelfip.com/es/player/guillem-figuerola-santiago/
118,Nacho Moragues Moltò,ESP,492,https://www.padelfip.com/es/player/nacho-moragues-molto/
119,Ramiro Pereyra,ARG,485,https://www.padelfip.com/es/player/ramiro-pereyra/
120,Nicolas Zurita,ITA,478,https://www.padelfip.com/es/player/nicolas-zurita/
121,Rafael Mendez,ESP,465,https://www.padelfip.com/es/player/rafael-mendez/
122,Adrian Naranjo Martinez,ESP,462,https://www.padelfip.com/es/player/adrian-naranjo-martinez/
122,Alvaro Pozo Marroyo,ESP,462,https://www.padelfip.com/es/player/alvaro-pozo-marroyo/
124,Pedro Araujo,POR,459,https://www.padelfip.com/es/player/pedro-araujo/
125,Luis Oliver Artigas,ESP,458,https://www.padelfip.com/es/player/luis-oliver-artigas/
126,Fran Ramirez Navas,ESP,450,https://www.padelfip.com/es/player/fran-ramirez-navas/
127,Juan Pablo Dametto,ARG,447,https://www.padelfip.com/es/player/juan-pablo-dametto/
128,Jose Solano Marmolejo,ESP,445,https://www.padelfip.com/es/player/jose-solano-marmolejo/
129,Boris Castro Garcia,ESP,444,https://www.padelfip.com/es/player/boris-castro-garcia/
130,Jaume Romera Barcelo,ESP,443,https://www.padelfip.com/es/player/jaume-romera-barcelo/
131,Ignacio Archieri,ARG,440,https://www.padelfip.com/es/player/ignacio-archieri/
132,Alejandro Jerez Carnero,ESP,435,https://www.padelfip.com/es/player/alejandro-jerez-carnero/
133,Maximo Jesus Maldonado,ARG,431,https://www.padelfip.com/es/player/maximo-jesus-maldonado/
